393	 2.70081  14.0055 0.909311	 0.558383 0.0892488 -0.280181  0.293521  0.953542  -0.13568 -0.667779  0.138626  0.761403 0.0176166
464	 2.29321  14.3725 0.249838	-0.0271644  -0.938594  0.0233461  0.0937692  -0.480435   0.147365   0.414446   0.454165   -0.62307   0.198851
506	1.77056 5.25877  1.5358	 0.0570979   0.298157 -0.0329808  -0.586699  -0.951868  -0.636283  -0.695073  -0.596589   0.738513   0.521662
541	-1.90254 0.427317 0.352167	 0.363751 -0.810184  0.846111 -0.298946 -0.642631  0.692483  0.774198 -0.594429 -0.972962  0.256381
607	 -2.76322 -0.632959  0.147581	 0.857771  0.365062 -0.315899  0.110394 -0.381549 -0.394416 -0.410487   0.22923  0.941711  0.766937
883	-0.53064  2.29451 0.900924	 -0.228695  -0.253224   -0.72205   0.963305   0.265201   0.597859   0.578917   -0.32015   0.210408 -0.0402983
888	-5.33947 -4.40878  3.90808	-0.673224  0.738515  0.465692  0.524957  0.393131 -0.896395  0.682839  0.924648  0.158043 0.0180768
978	 -2.45157 -0.274612   1.16289	 0.847127  0.669788  0.269063  0.935854  -0.81944  0.381526  0.121651  0.424061 -0.589178  0.374483
31	1.37136 4.08858 1.16258	 -0.391429   0.777447 -0.0468307   -0.66036   0.219458  0.0514942   0.237851   0.192392  -0.532688   0.659617
505	2.76486 14.4528 2.13863	 -0.645631  -0.234013   0.220104   0.247822  -0.799595  -0.480147  -0.845421   0.909552  -0.478063 -0.0129028
881	1.49137 4.13105 2.01459	 0.319909  0.615612  0.414649  0.612549  0.380785 -0.802948  0.206118 -0.782346 -0.422539 -0.567341
924	 1.00744  18.6276 0.878722	 -0.452965  -0.515122   0.268808   -0.40809 -0.0404977  -0.108878  -0.980781 -0.0421047   0.805151  -0.197431
944	-1.58375 0.175655  2.61496	  0.541749  -0.497136  -0.277354  -0.555318   0.689805 -0.0480154   0.130868   0.317116   0.462769  -0.639126
958	-2.67673  -1.2788  3.86131	-0.460583 -0.887011 -0.803478 -0.215128 0.0572398 -0.342544 -0.192652 -0.238265  0.445713 -0.914156
972	3.17336 12.1763 3.14033	 -0.703872   -0.52895   0.964815 -0.0106197  -0.990227  -0.556681   -0.75033  -0.302126  -0.698704   0.704034
990	0.358602  20.4729   2.7382	 0.626775  0.684412  0.858377  0.728922 -0.125648  0.253674  0.554018 -0.745404  0.741505 -0.747587
21	3.91767 7.09126 1.77327	 0.551535 -0.423241 -0.340716 -0.620498  0.968726 -0.992843  0.654782 -0.337042 -0.623598 -0.127006
37	 4.96153   8.5239 0.566653	-0.997749 -0.988582 -0.389522 -0.476859  0.310736   0.71511 -0.637678 -0.317291  0.334681  0.758019
240	2.73601 5.00958 2.55367	-0.530628 -0.612642  0.611599  0.810904  0.798053  0.720474 -0.521382 -0.721557 -0.992283  0.651193
320	 4.62318  11.1006 0.370453	    -0.11852     0.658588     0.986127   -0.0218225     0.586611     0.160737   -0.0157173 -0.000238776     0.189437     0.294118
352	 -1.53234 -0.234591   1.29084	 0.557441  0.358546  0.410345 -0.735391  0.574247  0.676651 -0.634387  0.555139 -0.134072  0.830405
